"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"CAZONES DE HERRERA";"BARRA DE CAZONES";2;0;0;1;1;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"TUXPAN";"ALAMO TEMAPACHE";"VENUSTIANO CARRANZA";1;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"ALTOTONGA";"ALTOTONGA";6;0;0;5;0;1;8;0;1;4;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"XALAPA";"ACAJETE";"ACAJETE";4;0;0;4;1;0;3;0;1;3;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"SAN ANDRES TUXTLA";"SANTIAGO TUXTLA";"CAMACHO";2;0;0;1;0;0;2;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"TEQUILA";"TOLAPA";3;0;0;2;1;0;2;0;1;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"VERACRUZ";"IGNACIO DE LA LLAVE";"IGNACIO DE LA LLAVE";4;0;0;2;2;0;4;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"IXHUATLAN DEL SURESTE";"EL CHAPO";2;0;0;1;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"COATZACOALCOS";"MUNDO NUEVO";4;0;0;4;2;0;4;0;0;3;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"TATAHUICAPAN DE JUAREZ";"TATAHUICAPAN";5;0;6;9;0;0;8;0;1;0;5
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"TIERRA BLANCA";"TIERRA BLANCA";6;0;0;11;0;0;9;5;1;28;6
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"OTATITLAN";"OTATITLAN";4;0;0;5;3;0;3;0;0;3;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"COSAMALOAPAN";"JOSE AZUETA";"VILLA AZUETA";3;0;0;2;0;0;4;4;0;4;3
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"CARRILLO PUERTO";"MATA GALLINA";3;0;0;3;1;0;2;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"COSCOMATEPEC";"EL DURAZNO";3;0;0;2;0;0;1;0;1;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"FORTIN";"SANTA MARTINA";5;0;0;5;0;0;6;0;0;4;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"TEPATLAXCO";"EL TRIUNFO";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"CORDOBA";"FORTIN";"VILLA UNION";3;0;0;3;1;0;2;0;0;1;0
